vehicle_id,vehicle_type,make_id,model_year,vehicle_desc,color,date_stolen,location_id,region,country,population,density,make_name,make_type
1,Trailer,623,2021,BST2021D,Silver,11/5/2021,102,Auckland,New Zealand,1695200,343.09,Trailer,Standard
2,Boat Trailer,623,2021,OUTBACK BOATS FT470,Silver,12/13/2021,105,Gisborne,New Zealand,52100,6.21,Trailer,Standard
3,Boat Trailer,623,2021,ASD JETSKI,Silver,2/13/2022,102,Auckland,New Zealand,1695200,343.09,Trailer,Standard
4,Trailer,623,2021,MSC 7X4,Silver,11/13/2021,106,Hawke's Bay,New Zealand,182700,12.92,Trailer,Standard
5,Trailer,623,2018,D-MAX 8X5,Silver,1/10/2022,102,Auckland,New Zealand,1695200,343.09,Trailer,Standard
6,Roadbike,636,2005,YZF-R6T,Black,12/31/2021,102,Auckland,New Zealand,1695200,343.09,Yamaha,Standard
7,Trailer,623,2021,CAAR TRANSPORTER,Silver,11/12/2021,114,Canterbury,New Zealand,655000,14.72,Trailer,Standard
8,Boat Trailer,623,2001,BOAT,Silver,2/22/2022,109,Wellington,New Zealand,543500,67.52,Trailer,Standard
9,Trailer,514,2021,"7X4-6"" 1000KG",Silver,2/25/2022,115,Otago,New Zealand,246000,7.89,Briford,Standard
10,Trailer,514,2020,8X4 TANDEM,Silver,1/3/2022,114,Canterbury,New Zealand,655000,14.72,Briford,Standard
11,Trailer,623,2018,HOMEBUILT,Silver,10/15/2021,108,Manawatū-Whanganui,New Zealand,258200,11.62,Trailer,Standard
12,Trailer,538,2018,BRENT SMITH TRAILERS,Silver,2/28/2022,102,Auckland,New Zealand,1695200,343.09,Factory Built,Standard
13,Moped,629,2004,ET2,Black,12/19/2021,102,Auckland,New Zealand,1695200,343.09,Vespa,Standard
14,Moped,550,2007,TODAY,Blue,1/23/2022,102,Auckland,New Zealand,1695200,343.09,Honda,Standard
15,Roadbike,611,2007,DL650,Black,2/28/2022,101,Northland,New Zealand,201500,16.11,Suzuki,Standard
16,Trailer,623,2021,JOBMATE,Silver,2/8/2022,109,Wellington,New Zealand,543500,67.52,Trailer,Standard
17,Trailer,623,2021,BSTB85B,Silver,10/10/2021,102,Auckland,New Zealand,1695200,343.09,Trailer,Standard
18,Boat Trailer,623,2004,BOAT,White,10/7/2021,104,Bay of Plenty,New Zealand,347700,28.8,Trailer,Standard
19,Trailer,623,2014,DOMESTIC TRAILER,White,2/24/2022,104,Bay of Plenty,New Zealand,347700,28.8,Trailer,Standard
20,Boat Trailer,623,2018,APS SEADOO,Silver,11/8/2021,114,Canterbury,New Zealand,655000,14.72,Trailer,Standard
21,Roadbike,625,2002,THUNDERBIRD,Silver,2/11/2022,101,Northland,New Zealand,201500,16.11,Triumph,Standard
22,Trailer,538,2000,BRENT SMITH TRAILERS,Silver,11/22/2021,104,Bay of Plenty,New Zealand,347700,28.8,Factory Built,Standard
23,Trailer,623,2015,LOCAL,Silver,1/27/2022,114,Canterbury,New Zealand,655000,14.72,Trailer,Standard
24,Trailer - Heavy,623,2021,CT DIG 25,Silver,11/12/2021,102,Auckland,New Zealand,1695200,343.09,Trailer,Standard
25,Trailer,623,2018,CHOOKS 2.4X1.6 TRANS,Silver,10/8/2021,106,Hawke's Bay,New Zealand,182700,12.92,Trailer,Standard
26,Trailer,623,2017,EASY TILT,Silver,3/4/2022,108,Manawatū-Whanganui,New Zealand,258200,11.62,Trailer,Standard
27,Trailer,623,2018,IFOR WILLIAMS CT177,Silver,2/27/2022,103,Waikato,New Zealand,513800,21.5,Trailer,Standard
28,Trailer,623,2018,CONDOR,Silver,2/1/2022,109,Wellington,New Zealand,543500,67.52,Trailer,Standard
29,Trailer,623,2018,HOMEBUILT,Silver,11/1/2021,104,Bay of Plenty,New Zealand,347700,28.8,Trailer,Standard
30,Trailer,623,2018,PRO COMMERCIAL,Silver,12/21/2021,102,Auckland,New Zealand,1695200,343.09,Trailer,Standard
31,Trailer,623,2018,FACTORY,Grey,1/3/2022,102,Auckland,New Zealand,1695200,343.09,Trailer,Standard
32,Trailer,549,1998,TRAILER,Green,10/21/2021,114,Canterbury,New Zealand,655000,14.72,Homebuilt,Standard
33,Boat Trailer,623,2017,JFK JETSKI,Grey,2/15/2022,104,Bay of Plenty,New Zealand,347700,28.8,Trailer,Standard
34,Trailer,623,2021,BST 2021D,Silver,1/5/2022,102,Auckland,New Zealand,1695200,343.09,Trailer,Standard
35,Trailer,514,2021,10X5 TANDEM,Silver,4/5/2022,114,Canterbury,New Zealand,655000,14.72,Briford,Standard
36,Trailer,623,2018,HOMEMADE,Grey,2/17/2022,103,Waikato,New Zealand,513800,21.5,Trailer,Standard
37,Trailer,623,2018,COMPASS-KH63,Silver,2/23/2022,102,Auckland,New Zealand,1695200,343.09,Trailer,Standard
38,Trailer,623,2018,TRAYLA,Silver,1/17/2022,109,Wellington,New Zealand,543500,67.52,Trailer,Standard
39,Trailer - Heavy,623,2021,PRESCOTT,Silver,12/3/2021,104,Bay of Plenty,New Zealand,347700,28.8,Trailer,Standard
40,Trailer,549,2021,TRAILER,Black,12/27/2021,109,Wellington,New Zealand,543500,67.52,Homebuilt,Standard
41,Trailer,623,2021,TRAYLA,Silver,3/2/2022,106,Hawke's Bay,New Zealand,182700,12.92,Trailer,Standard
42,Trailer,623,2002,HOMEMADE,Silver,1/2/2022,102,Auckland,New Zealand,1695200,343.09,Trailer,Standard
43,Boat Trailer,623,2018,BST58OR,Silver,2/24/2022,102,Auckland,New Zealand,1695200,343.09,Trailer,Standard
44,Trailer,549,2018,TRAILER,Silver,2/28/2022,114,Canterbury,New Zealand,655000,14.72,Homebuilt,Standard
45,Trailer,623,2014,DOMESTIC TRAILER,Silver,10/19/2021,104,Bay of Plenty,New Zealand,347700,28.8,Trailer,Standard
